Date,Variable,Value
01/11/2023,KBP1166M,4220808
01/11/2023,KBP1347M,4598963
01/11/2023,KBP1486M,11.75
01/12/2023,KBP1008M,369738
01/12/2023,KBP1123M,194438
01/12/2023,KBP1132M,7568795
01/12/2023,KBP1166M,4250490
01/12/2023,KBP1347M,4639608
01/12/2023,KBP1486M,11.75
01/01/2024,KBP1008M,367096
01/01/2024,KBP1123M,195686
01/01/2024,KBP1132M,7588152
01/01/2024,KBP1166M,4237735
01/01/2024,KBP1347M,4595393
01/01/2024,KBP1486M,11.75
01/02/2024,KBP1008M,381993
01/02/2024,KBP1123M,198227
01/02/2024,KBP1132M,7615419
01/02/2024,KBP1166M,4277031
01/02/2024,KBP1347M,4635888
01/02/2024,KBP1486M,11.75
01/03/2024,KBP1008M,375816
01/03/2024,KBP1123M,199607
01/03/2024,KBP1132M,7744553
01/03/2024,KBP1166M,4341847
01/03/2024,KBP1347M,4730518
01/03/2024,KBP1486M,11.75
01/04/2024,KBP1008M,351789
01/04/2024,KBP1123M,200812
01/04/2024,KBP1132M,7775851
01/04/2024,KBP1166M,4281806
01/04/2024,KBP1347M,4667226
01/04/2024,KBP1486M,11.75
01/05/2024,KBP1008M,358059
01/05/2024,KBP1123M,202349
01/05/2024,KBP1132M,7713107
01/05/2024,KBP1166M,4299685
01/05/2024,KBP1347M,4676444
01/05/2024,KBP1486M,11.75
01/06/2024,KBP1008M,353933
01/06/2024,KBP1123M,200585
01/06/2024,KBP1132M,7747546
01/06/2024,KBP1166M,4350686
01/06/2024,KBP1347M,4739581
01/06/2024,KBP1486M,11.75
01/07/2024,KBP1008M,426599
01/07/2024,KBP1123M,202529
01/07/2024,KBP1132M,7876792
01/07/2024,KBP1166M,4323487
01/07/2024,KBP1347M,4708491
01/07/2024,KBP1486M,11.75
01/08/2024,KBP1008M,439888
01/08/2024,KBP1123M,201997
01/08/2024,KBP1132M,7980343
01/08/2024,KBP1166M,4371862
01/08/2024,KBP1347M,4773686
01/08/2024,KBP1486M,11.75
01/09/2024,KBP1008M,440971
01/09/2024,KBP1123M,202934
01/09/2024,KBP1132M,8145422
01/09/2024,KBP1166M,4411915
01/09/2024,KBP1347M,4831734
01/09/2024,KBP1486M,11.5
01/10/2024,KBP1008M,426782
01/10/2024,KBP1123M,204314
01/10/2024,KBP1132M,8041146
01/10/2024,KBP1166M,4384373
01/10/2024,KBP1347M,4777940
01/10/2024,KBP1486M,11.5
01/11/2024,KBP1008M,487621
01/11/2024,KBP1123M,203891
01/11/2024,KBP1132M,8154495
01/11/2024,KBP1166M,4401480
01/11/2024,KBP1347M,4790419
01/11/2024,KBP1486M,11.25
01/12/2024,KBP1008M,484967
01/12/2024,KBP1123M,200697
